text,label
Ký túc xá TDTU nằm ở đâu?,GENERAL
Ký túc xá có bao nhiêu khu?,GENERAL
Mỗi khu ký túc xá có sức chứa khoảng bao nhiêu sinh viên?,GENERAL
Ký túc xá có những loại phòng nào?,GENERAL
Giờ giới nghiêm của ký túc xá là mấy giờ?,GENERAL
Ký túc xá có nhà ăn/canteen không?,GENERAL
Ký túc xá có khu tự học không?,GENERAL
Ký túc xá có phòng giặt chung không?,GENERAL
Ký túc xá có wifi không?,GENERAL
Ký túc xá có sân thể thao nào không?,GENERAL
Ký túc xá có bãi giữ xe không?,GENERAL
Ký túc xá có căng tin/siêu thị mini không?,GENERAL
Nhà thi đấu TDTU nằm ở đâu?,GENERAL
Giờ mở cửa của sân vận động TDTU là khi nào?,GENERAL
Hồ bơi TDTU có những loại hình hoạt động nào?,GENERAL
Nhà thi đấu TDTU có những môn thể thao nào được tổ chức?,GENERAL
Sân vận động TDTU có khán đài không?,GENERAL
Hồ bơi TDTU có chiều dài bao nhiêu mét?,GENERAL
Nhà thi đấu TDTU có cho thuê sân không?,GENERAL
Sân vận động TDTU có khu vực dành cho khán giả không?,GENERAL
Hồ bơi TDTU có lớp dạy bơi không?,GENERAL
Nhà thi đấu TDTU thường tổ chức những giải đấu nào?,GENERAL
Sân vận động TDTU có đường chạy điền kinh không?,GENERAL
Hồ bơi TDTU có khu vực dành cho trẻ em không?,GENERAL
Căn tin chính mở cửa lúc mấy giờ?,GENERAL
Căn tin có những món ăn nào phổ biến?,GENERAL
Vị trí chính xác của căn tin 2 là ở đâu?,GENERAL
Quán cafe nào gần thư viện nhất?,GENERAL
Quán cafe trong trường có phục vụ đồ ăn nhẹ không?,GENERAL
Giờ đóng cửa của các quán cafe là mấy giờ?,GENERAL
Căn tin có chấp nhận thanh toán bằng thẻ không?,GENERAL
Có khu vực nào trong căn tin dành cho sinh viên tự học không?,GENERAL
"Ngoài căn tin và cafe, trường còn địa điểm ăn uống nào khác không?",GENERAL
Wifi ở căn tin có mạnh không?,GENERAL
Giá cả ở căn tin so với bên ngoài trường thế nào?,GENERAL
Có chương trình khuyến mãi nào ở căn tin không?,GENERAL
Bãi giữ xe TDTU nằm ở đâu?,GENERAL
Hầm xe TDTU có mấy khu vực?,GENERAL
Giờ mở cửa và đóng cửa bãi giữ xe là mấy giờ?,GENERAL
Giá vé gửi xe máy là bao nhiêu?,GENERAL
Có thể gửi xe đạp ở hầm xe không?,GENERAL
Có khu vực riêng cho giảng viên/nhân viên không?,GENERAL
Có chỗ gửi xe qua đêm không?,GENERAL
Có camera an ninh ở bãi giữ xe không?,GENERAL
Nếu mất xe thì liên hệ ai?,GENERAL
Bãi giữ xe có nhận giữ mũ bảo hiểm không?,GENERAL
Có chỗ bơm xe miễn phí không?,GENERAL
Có quy định về loại xe được phép gửi không?,GENERAL
Đồng phục TDTU mua ở đâu vậy ạ?,GENERAL
Thời gian nào sinh viên bắt buộc mặc đồng phục?,GENERAL
Đồng phục thể dục có những loại nào?,GENERAL
Có quy định cụ thể về giày dép khi mặc đồng phục không?,GENERAL
Sinh viên có được mang túi xách tự do khi mặc đồng phục không?,GENERAL
Địa điểm nào được phép mặc trang phục tự do?,GENERAL
Trang phục tự do có giới hạn về kiểu dáng hay màu sắc không?,GENERAL
Tóc tai có quy định gì khi đến trường không ạ?,GENERAL
Sinh viên có được phép nhuộm tóc không?,GENERAL
"Có quy định về việc sử dụng phụ kiện (trang sức, mũ nón) không?",GENERAL
Khu vực nào trong trường có quy định riêng về trang phục?,GENERAL
Nếu vi phạm quy định về đồng phục thì sẽ xử lý như thế nào?,GENERAL
Trường TDTU được thành lập năm nào?,GENERAL
Tên đầy đủ của trường trước đây là gì?,GENERAL
Trường TDTU tọa lạc tại địa chỉ nào?,GENERAL
Ai là Hiệu trưởng hiện tại của trường?,GENERAL
Trường TDTU có những cơ sở nào khác ngoài cơ sở chính?,GENERAL
Trường được mang tên Tôn Đức Thắng vào năm nào?,GENERAL
Logo của trường TDTU có ý nghĩa gì?,GENERAL
Trường trực thuộc cơ quan nào?,GENERAL
Ban giám hiệu trường gồm những ai?,GENERAL
Trường TDTU có những khoa nào khi mới thành lập?,GENERAL
Trường có những cột mốc lịch sử quan trọng nào?,GENERAL
Trường có bảo tàng hoặc phòng truyền thống không?,GENERAL
Wifi trường phủ sóng ở những khu vực nào?,GENERAL
Tên các mạng wifi chính thức của trường là gì?,GENERAL
Mật khẩu wifi trường có thay đổi không?,GENERAL
Tôi có thể tìm thấy thông tin về wifi trường ở đâu?,GENERAL
Tốc độ internet trung bình của wifi trường là bao nhiêu?,GENERAL
Có giới hạn dung lượng sử dụng wifi không?,GENERAL
Có wifi ở thư viện không?,GENERAL
Wifi có ổn định ở khu vực tự học không?,GENERAL
Có cần đăng ký tài khoản để sử dụng wifi không?,GENERAL
Có wifi ở các khu vực canteen không?,GENERAL
Có wifi ở khu vực nhà thi đấu không?,GENERAL
Tôi có thể báo cáo sự cố wifi ở đâu?,GENERAL
Tòa A nằm ở đâu trong khuôn viên trường?,GENERAL
Tòa B mở cửa và đóng cửa lúc mấy giờ?,GENERAL
Tòa C có những phòng ban nào?,GENERAL
Tòa D có những tiện ích gì cho sinh viên?,GENERAL
Tòa E là nơi diễn ra các hoạt động gì?,GENERAL
Sảnh chính của tòa A thường được sử dụng cho mục đích gì?,GENERAL
Tòa B có khu vực tự học nào không?,GENERAL
Địa điểm cụ thể của thư viện trong tòa C là gì?,GENERAL
Tòa D có căng tin hoặc quán ăn nào không?,GENERAL
Tòa E có phòng máy tính nào không?,GENERAL
Tòa nhà nào gần khu vực giữ xe nhất?,GENERAL
Tòa nhà nào có nhiều cây xanh bao quanh nhất?,GENERAL
Phòng y tế TDTU nằm ở đâu?,GENERAL
Phòng y tế mở cửa khi nào?,GENERAL
Giờ làm việc của phòng y tế là gì?,GENERAL
Phòng y tế ở cơ sở nào của trường?,GENERAL
Có nhiều phòng y tế không?,GENERAL
Phòng y tế có số điện thoại liên lạc không?,GENERAL
Bản đồ trường có đánh dấu vị trí phòng y tế không?,GENERAL
Phòng y tế nằm gần khu vực nào?,GENERAL
Phòng y tế có ở ký túc xá không?,GENERAL
Có thể tìm thông tin về phòng y tế trên website trường không?,GENERAL
Phòng y tế có sơ đồ chỉ dẫn không?,GENERAL
Phòng y tế có dễ tìm không?,GENERAL
